*Fresh Weight Output File

!----------------------------
! Variable Descriptions (unit)
!----------------------------
!YEAR  Year of current date of simulation
!DOY  Day of year (d)
!DAS  Days after start of simulation (d)
!PDMCD  Dry matter con. of harvested product (fraction)
!AFPWD  Average fresh fruit (pod, ear) weight (g/fruit)
!ADPWD  Average dry fruit (pod, ear) weight (g/fruit)
!PAGED  Age of oldest pod or ear (days)
!XMAGE  Required pod age for Multi-Harvest (days)
!TOSDN  Total Number of seeds (#/ha)
!TOWSD  Total Seed mass (kg/ha)
!TOSHN  Total Number of shells (#/ha)
!TOWSH  Total Shell mass (kg/ha)
!TOPOW  Total pod weight (kg/ha)
!TOFPW  Total pod (ear) fresh weight (kg/ha)
!MTFPW  Fresh weight of mature fruits (kg/ha)
!MTDPW  Dry weight of mature fruits (sd and sh)(kg/ha)
!MTDSD  Seed mass of mature fruits (kg/ha)
!MTDSH  Shell mass of mature fruits (kg/ha)
!HSHELWT  Harvested shell weight (kg/ha)
!HSDWT  Harvested seed weight (kg/ha)
!HPODWT  Harvested pod weight (kg/ha)
!HFPOW  Harvested fresh pod weight (kg/ha)
!CPODN  Cum. pod weight (kg/ha)
!CMFNM  Cum. mature fruit number (#)
!CHPDT  Cum. har. pod weight of mat. fruits (kg/ha)
!CHFPW  Cum. har. fresh weight of mat. fruits (kg/ha)
!CHNUM  Cum. harvest number (#)

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 12, 2025 18:04:53

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      :
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP    PDMCD    AFPWD    ADPWD    PAGED    XMAGE    CHNUM    TOSHN    TOWSH    MTDSH    HSHEL    TOPOW    HPODW    CHPDT    CPODN    TOFPW    MTFPW    MTDPW    HFPOW    CHFPW    CMFNM    TOSDN    TOWSD    MTDSD    HSDWT
 2014 311    38    29      0.0      0.0      0.0      0.0     10.0        0      0.5      0.0      0.0      0.0      0.0      0.0      0.0        0        0      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
 2014 312    39    30      0.2      0.3      0.1      0.8     10.0        0      0.7      0.4      0.0      0.0      0.4      0.0      0.0        0        2      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
 2014 313    40    31      0.2      0.7      0.1      1.7     10.0        0      0.9      1.0      0.0      0.0      1.0      0.0      0.0        0        6      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
 2014 314    41    32      0.2      0.9      0.1      2.6     10.0        0      1.2      1.7      0.0      0.0      1.7      0.0      0.0        0       11      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
 2014 315    42    33      0.2      1.1      0.2      3.4     10.0        0      1.5      2.7      0.0      0.0      2.7      0.0      0.0        0       17      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
 2014 316    43    34      0.2      1.8      0.3      4.2     10.0        0      1.8      5.3      0.0      0.0      5.3      0.0      0.0       10       33      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
 2014 317    44    35      0.2      2.1      0.3      4.8     10.0        0      2.0      7.0      0.0      0.0      7.0      0.0      0.0       20       44      0.0      0.0      0.0      0.0        0     77.1      0.0      0.0      0.0
 2014 318    45    36      0.2      3.0      0.5      5.6     10.0        0      2.1     10.1      0.0      0.0     10.3      0.0      0.0       30       64      0.0      0.0      0.0      0.0        0    110.1      0.2      0.0      0.0
 2014 319    46    37      0.2      4.0      0.6      6.3     10.0        0      2.2     13.2      0.0      0.0     13.8      0.0      0.0       40       86      0.0      0.0      0.0      0.0        0    137.5      0.6      0.0      0.0
 2014 320    47    38      0.2      5.5      0.9      7.1     10.0        0      2.2     18.3      0.0      0.0     19.3      0.0      0.0       60      121      0.0      0.0      0.0      0.0        0    184.8      1.1      0.0      0.0
