DAP,LAID_DSSAT,LAID_Python,LAID_Diff,LWAD_DSSAT,LWAD_Python,LWAD_Diff,SWAD_DSSAT,SWAD_Python,SWAD_Diff,GWAD_DSSAT,GWAD_Python,GWAD_Diff,RWAD_DSSAT,RWAD_Python,RWAD_Diff,VWAD_DSSAT,VWAD_Python,VWAD_Diff,G#AD_DSSAT,G#AD_Python,G#AD_Diff,RDPD_DSSAT,RDPD_Python,RDPD_Diff
0,0.065,0.065,0.0,49,49.019999999999996,-0.01999999999999602,74,73.96,0.04000000000000625,0,0.0,0.0,52,51.249550000000006,0.7504499999999936,123,122.97999999999999,0.020000000000010232,0,0.0,0.0,0.13,0.125,0.0050000000000000044
1,0.065,0.065,0.0,49,49.019999999999996,-0.01999999999999602,74,81.41426002312092,-7.414260023120917,0,0.0,0.0,52,56.654140599287146,-4.654140599287146,123,130.43426002312088,-7.434260023120885,0,0.0,0.0,0.15,0.15,0.0
2,0.065,0.06475430933706162,0.0002456906629383776,49,48.83540916840841,0.16459083159158894,79,88.85118074965719,-9.851180749657189,0,0.0,0.0,55,62.122440915731794,-7.122440915731794,128,137.6865899180656,-9.686589918065607,0,0.0,0.0,0.18,0.175,0.0050000000000000044
3,0.065,0.06446822676524133,0.0005317732347586701,49,48.620604813133816,0.37939518686618356,84,96.10300429347052,-12.10300429347052,0,0.0,0.0,60,67.43689951457048,-7.436899514570484,133,144.72360910660433,-11.723609106604329,0,0.0,0.0,0.2,0.2,0.0
4,0.065,0.0641827151950259,0.0008172848049741027,48,48.40622730255508,-0.4062273025550809,90,103.15244543065678,-13.152445430656783,0,0.0,0.0,64,72.56689498403338,-8.566894984033382,139,151.55867273321186,-12.558672733211864,0,0.0,0.0,0.22,0.225,-0.0050000000000000044
5,0.064,0.06387703555940669,0.00012296444059331502,48,48.17677829917387,-0.17677829917386845,93,106.17521067794044,-13.175210677940441,0,0.0,0.0,66,74.21430421725903,-8.214304217259027,141,154.3519889771143,-13.351988977114303,0,0.0,0.0,0.25,0.25,0.0
6,0.064,0.06357280158423778,0.00042719841576221995,48,47.94840929246712,0.0515907075328812,98,112.35233628631414,-14.352336286314141,0,0.0,0.0,71,78.63124492323375,-7.631244923233751,146,160.30074557878126,-14.30074557878126,0,0.0,0.0,0.27,0.275,-0.0050000000000000044
7,0.064,0.06326875175176312,0.0007312482482368793,47,47.720177851977134,-0.7201778519771338,105,119.56467683561652,-14.564676835616524,0,0.0,0.0,76,83.96413047267804,-7.964130472678036,152,167.28485468759368,-15.284854687593679,0,0.0,0.0,0.3,0.3,0.0
8,0.063,0.06298547755297455,1.452244702544736e-05,47,47.5074718847813,-0.5074718847813031,112,126.80213963922893,-14.802139639228926,0,0.0,0.0,82,89.30252572585633,-7.302525725856327,159,174.30961152401025,-15.30961152401025,0,0.0,0.0,0.32,0.325,-0.0050000000000000044
9,0.064,0.06270853537873927,0.0012914646212607295,48,47.29949971721443,0.7005002827855691,119,133.88985854494325,-14.889858544943252,0,0.0,0.0,88,94.49344415644822,-6.49344415644822,166,181.1893582621577,-15.189358262157697,0,0.0,0.0,0.35,0.35,0.0
10,0.065,0.06242171198526679,0.0025782880147332127,48,47.084140946618355,0.9158590533816451,125,140.562332172372,-15.56233217237201,0,0.0,0.0,93,99.30302886300754,-6.30302886300754,173,187.64647311899037,-14.646473118990372,0,0.0,0.0,0.37,0.375,-0.0050000000000000044
11,0.071,0.0635142642985079,0.007485735701492094,51,46.8661979523634,4.1338020476366,129,142.79697311613296,-13.79697311613296,0,0.0,0.0,96,102.10966825599562,-6.109668255995615,180,189.66317106849633,-9.663171068496325,0,0.0,0.0,0.39,0.4,-0.010000000000000009
12,0.076,0.06893229275274257,0.007067707247257429,54,49.50727975918938,4.49272024081062,132,145.99924704837645,-13.999247048376446,0,0.0,0.0,98,103.57901022366683,-5.5790102236668275,185,195.5065268075658,-10.506526807565791,0,0.0,0.0,0.42,0.425,-0.0050000000000000044
