Variable,DSSAT_Mean,Python_Mean,Abs_Diff_Mean,Pct_Diff_Mean,Correlation,DSSAT_Max,Python_Max,DSSAT_Min,Python_Min
DAP,42.0,43.0,-1.0,-5.8987918053940325,1.0,84.0,85.0,0.0,1.0
LAID,0.5936117647058824,0.0005190234409630288,0.5930927412649194,99.77428064480193,0.6400836271990784,1.367,0.0006238866596026658,0.063,0.0004747484634359635
LWAD,377.3176470588235,0.027252200422041347,377.29039485840144,99.98359742065152,0.9871355853232959,854.0,0.03339949868022479,47.0,0.023737423171798173
SWAD,441.3529411764706,0.014158098567086897,441.33878307790343,99.99501109429544,0.9816135652561541,921.0,0.01863235869622158,74.0,0.011868711585899087
GWAD,3.2823529411764705,0.001462928812662402,3.280890012363809,56.449209319744256,0.8221777053250409,17.0,0.008501457491616196,0.0,0.0
RWAD,451.4117647058824,0.025118558682316494,451.38664614719994,99.98854751792297,0.986342211767976,954.0,0.026812589544530405,52.0,0.023737423171798173
VWAD,818.7764705882353,0.06799178648410711,818.7084788017512,99.98495890224953,0.9756123733679379,1774.0,0.08734590441259298,123.0,0.05934355792949543
G#AD,276.16470588235296,13.411860576785953,262.752845305567,56.423549971828955,0.823106931795734,1409.0,48.35922809656395,0.0,0.0
WSPD,0.0,0.13432698690971248,-0.13432698690971248,0.0,,0.0,0.30414869051434695,0.0,0.0
RDPD,1.0627058823529412,10.674705882352939,-9.611999999999993,-1175.7002675578883,0.9717400888205227,1.8,13.2,0.13,5.2
