*EVAPOTRANSPIRATION / PHOTOSYNTHESIS DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:29:39

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS    LI%D   PHAD   PHAN    LI%N   SLLN   SLHN   N%LN   N%HN   LMLN   LMHN   TGON   TGAV
 2014 274     1    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  29.49  26.64
 2014 275     2    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  30.84  27.13
 2014 276     3    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  30.45  26.78
 2014 277     4    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  26.79  22.42
 2014 278     5    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  23.18  18.60
 2014 279     6    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  25.38  20.41
 2014 280     7    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  27.79  24.05
 2014 281     8    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  29.65  25.46
 2014 282     9    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  29.10  25.02
 2014 283    10    0.28   0.15    0.01   0.25   7.29   7.27   4.59   4.58   5.90   5.88  29.36  24.83
 2014 284    11    3.49   1.73    0.09   3.08   7.27   7.25   4.58   4.57   5.84   5.82  29.85  25.32
 2014 285    12    3.68   1.78    0.09   3.26   7.26   7.24   4.57   4.56   5.87   5.86  29.40  24.98
 2014 286    13    3.85   1.81    0.10   3.42   7.24   7.22   4.56   4.55   5.85   5.83  29.48  25.24
 2014 287    14    4.86   0.92    0.06   4.86   7.23   7.21   4.55   4.54   6.02   6.01  27.69  25.18
 2014 288    15    4.43   1.79    0.10   4.13   7.20   7.18   4.53   4.53   6.21   6.19  25.56  21.33
 2014 289    16    4.24   2.12    0.11   3.70   7.18   7.16   4.52   4.51   6.31   6.29  24.44  20.17
 2014 290    17    4.31   2.20    0.11   3.74   7.17   7.15   4.51   4.50   6.27   6.26  24.66  19.32
 2014 291    18    4.41   2.19    0.11   3.83   7.16   7.14   4.49   4.49   6.24   6.22  24.96  19.29
 2014 292    19    4.58   2.10    0.11   4.04   7.15   7.13   4.48   4.48   6.13   6.12  25.90  20.67
 2014 293    20    4.80   2.00    0.11   4.33   7.11   7.10   4.47   4.46   6.03   6.02  26.62  21.64
 2014 294    21    5.80   1.54    0.09   5.73   6.99   6.96   4.47   4.46   5.90   5.88  26.89  23.54
 2014 295    22    5.52   2.31    0.12   4.93   6.79   6.77   4.46   4.45   5.68   5.66  27.51  23.47
 2014 296    23    5.95   2.78    0.15   5.15   6.66   6.63   4.46   4.45   5.76   5.73  25.41  21.03
 2014 297    24    6.46   2.99    0.16   5.62   6.57   6.54   4.46   4.45   5.76   5.74  24.50  20.13
 2014 298    25    6.95   3.32    0.17   6.00   6.51   6.48   4.46   4.45   5.75   5.73  23.98  19.40
 2014 299    26    7.46   3.55    0.19   6.45   6.48   6.45   4.46   4.45   5.67   5.64  24.39  17.85
 2014 300    27    8.07   3.73    0.20   6.93   6.52   6.49   4.47   4.45   5.63   5.60  25.48  19.50
 2014 301    28    8.60   3.84    0.20   7.46   6.53   6.49   4.46   4.45   5.55   5.52  26.50  21.11
 2014 302    29    9.42   3.50    0.20   8.67   6.49   6.45   4.46   4.44   5.47   5.44  26.98  21.94
 2014 303    30   10.28   3.44    0.20   9.75   6.41   6.37   4.45   4.43   5.44   5.40  26.52  22.09
 2014 304    31   10.59   4.85    0.27   9.56   6.30   6.25   4.44   4.42   5.65   5.60  23.02  20.21
 2014 305    32   11.39   5.23    0.29  10.28   6.19   6.14   4.45   4.43   4.66   4.62  15.88  12.66
