*EVAPOTRANSPIRATION / PHOTOSYNTHESIS DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 04:27:17

*RUN   1        : Radiance                  CRGRO048 UFWM1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFWM1401 SR 2014 WIMAUMA STRAWBERRY GROWTH AND YIELD ANALYSIS
 DATA PATH      :
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS    LI%D   PHAD   PHAN    LI%N   SLLN   SLHN   N%LN   N%HN   LMLN   LMHN   TGON   TGAV
 2014 274     1    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  27.53  24.96
 2014 275     2    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  28.74  25.40
 2014 276     3    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  28.43  25.10
 2014 277     4    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  25.11  21.15
 2014 278     5    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  21.83  17.74
 2014 279     6    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  23.83  19.35
 2014 280     7    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  25.99  22.64
 2014 281     8    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  27.67  23.90
 2014 282     9    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  27.20  23.50
 2014 283    10    0.28   0.16    0.01   0.25   7.29   7.27   4.59   4.58   6.10   6.09  27.39  23.32
 2014 284    11    3.46   1.77    0.09   3.05   7.27   7.25   4.58   4.57   6.04   6.02  27.87  23.76
 2014 285    12    3.66   1.82    0.10   3.24   7.25   7.23   4.57   4.56   6.07   6.05  27.43  23.47
 2014 286    13    3.83   1.85    0.10   3.41   7.23   7.21   4.56   4.55   6.04   6.03  27.52  23.73
 2014 287    14    4.85   0.94    0.06   4.85   7.22   7.20   4.54   4.54   6.19   6.17  25.91  23.65
 2014 288    15    4.43   1.82    0.10   4.13   7.18   7.16   4.53   4.52   6.35   6.34  23.98  20.17
 2014 289    16    4.24   2.15    0.11   3.70   7.17   7.15   4.52   4.51   6.44   6.42  22.96  19.11
 2014 290    17    4.31   2.22    0.12   3.73   7.15   7.13   4.50   4.49   6.41   6.39  23.15  18.37
 2014 291    18    4.40   2.22    0.12   3.82   7.14   7.13   4.49   4.48   6.37   6.35  23.46  18.34
 2014 292    19    4.58   2.13    0.11   4.04   7.13   7.11   4.48   4.47   6.27   6.25  24.36  19.62
 2014 293    20    4.81   2.04    0.11   4.34   7.10   7.08   4.46   4.46   6.19   6.17  24.90  20.44
 2014 294    21    5.81   1.58    0.09   5.75   6.97   6.95   4.46   4.45   6.05   6.03  25.17  22.17
 2014 295    22    5.55   2.38    0.13   4.96   6.76   6.74   4.45   4.44   5.81   5.79  25.73  22.11
 2014 296    23    6.00   2.85    0.15   5.19   6.61   6.59   4.46   4.45   5.85   5.83  23.94  19.97
 2014 297    24    6.51   3.05    0.16   5.66   6.53   6.51   4.46   4.45   5.86   5.83  23.05  19.12
 2014 298    25    7.00   3.39    0.18   6.05   6.49   6.46   4.45   4.44   5.85   5.82  22.63  18.50
 2014 299    26    7.51   3.62    0.19   6.49   6.47   6.44   4.46   4.44   5.79   5.76  22.95  17.07
 2014 300    27    8.02   3.80    0.20   6.96   6.51   6.47   4.46   4.45   5.76   5.73  23.93  18.56
 2014 301    28    8.68   3.94    0.21   7.51   6.52   6.48   4.46   4.44   5.68   5.65  24.89  20.01
 2014 302    29    9.50   3.61    0.20   8.75   6.48   6.44   4.45   4.44   5.62   5.58  25.27  20.74
 2014 303    30   10.40   3.55    0.21   9.85   6.40   6.36   4.45   4.43   5.58   5.54  24.87  20.89
 2014 304    31   10.71   4.98    0.27   9.67   6.29   6.24   4.44   4.42   5.75   5.70  21.69  19.19
 2014 305    32   11.51   5.28    0.29  10.40   6.20   6.14   4.45   4.42   4.50   4.46  15.27  12.40
 2014 306    33   12.04   5.51    0.31  10.79   6.35   6.29   4.46   4.43   4.41   4.37  15.92  11.37
 2014 307    34   12.59   5.69    0.33  11.41   6.47   6.41   4.46   4.44   5.42   5.36  18.70  13.44
 2014 308    35   13.28   5.46    0.32  12.37   6.53   6.46   4.46   4.44   5.94   5.87  22.09  17.34
 2014 309    36   13.93   5.60    0.32  13.00   6.51   6.44   4.45   4.42   5.77   5.70  23.88  20.20
 2014 310    37   14.92   5.29    0.32  14.32   6.42   6.34   4.45   4.42   5.61   5.54  24.74  20.82
 2014 311    38   15.36   6.75    0.39  14.03   6.32   6.24   4.44   4.41   5.76   5.69  21.84  17.58
 2014 312    39   16.58   5.63    0.35  16.13   6.32   6.23   4.45   4.41   5.82   5.74  21.17  16.64
 2014 313    40   17.83   3.79    0.24  17.83   6.30   6.21   4.44   4.40   5.31   5.23  17.71  15.67
 2014 314    41   17.18   7.86    0.45  15.52   6.27   6.17   4.42   4.38   5.76   5.67  21.24  17.53
 2014 315    42   17.94   8.28    0.47  16.18   6.27   6.17   4.45   4.40   5.81   5.71  20.73  17.03
 2014 316    43   18.72   8.78    0.50  16.78   6.28   6.18   4.45   4.40   5.75   5.65  21.60  16.68
 2014 317    44   19.43   8.63    0.50  17.57   6.32   6.20   4.45   4.41   5.64   5.53  22.04  16.00
 2014 318    45   21.15   5.70    0.36  21.01   6.35   6.23   4.46   4.41   5.55   5.44  18.45  14.99
 2014 319    46   20.62   9.11    0.53  18.75   6.34   6.21   4.44   4.39   5.84   5.72  19.84  15.03
 2014 320    47   21.30   8.59    0.50  19.75   6.37   6.24   4.46   4.40   5.68   5.56  23.38  18.64
 2014 321    48   23.14   5.00    0.32  23.10   6.36   6.22   4.45   4.39   5.61   5.48  24.12  20.46
 2014 322    49   23.69   3.16    0.21  23.69   6.28   6.14   4.43   4.37   4.56   4.45  16.09  11.89
 2014 323    50   23.11   7.87    0.49  22.22   6.27   6.13   4.43   4.37   3.42   3.34  13.24   9.32
 2014 324    51   23.37   8.82    0.54  22.04   6.35   6.20   4.45   4.39   4.42   4.31  15.60  11.44
 2014 325    52   24.05   8.39    0.52  23.19   6.41   6.26   4.46   4.39   5.92   5.76  19.65  15.77
 2014 326    53   25.41   5.69    0.37  25.35   6.40   6.24   4.45   4.38   5.91   5.75  21.01  19.06
 2014 327    54   25.06   8.11    0.50  24.22   6.31   6.15   4.43   4.36   5.43   5.28  25.70  23.07
 2014 328    55   25.79   8.16    0.51  25.01   6.24   6.07   4.43   4.36   5.38   5.22  25.60  23.14
 2014 329    56   27.34   3.82    0.25  27.34   6.17   5.99   4.43   4.35   5.47   5.29  23.82  21.74
 2014 330    57   27.89   5.47    0.36  27.89   6.10   5.91   4.40   4.33   5.21   5.03  18.19  14.08
 2014 331    58   27.05  11.42    0.68  24.63   6.09   5.90   4.42   4.34   4.65   4.50  16.99  12.42
 2014 332    59   27.61  11.30    0.68  25.09   6.15   5.96   4.44   4.36   3.60   3.47  13.49   9.89
 2014 333    60   28.01  11.80    0.71  25.65   6.27   6.07   4.45   4.37   5.18   5.00  18.14  13.33
 2014 334    61   28.51  11.42    0.69  26.48   6.31   6.11   4.46   4.37   5.83   5.62  21.02  16.69
 2014 335    62   29.29  10.40    0.65  27.96   6.32   6.11   4.45   4.36   5.79   5.58  21.56  17.93
 2014 336    63   30.50   8.85    0.57  30.03   6.30   6.08   4.45   4.35   5.78   5.56  21.40  18.99
 2014 337    64   30.67  10.05    0.64  29.68   6.23   6.00   4.44   4.34   5.65   5.42  22.31  19.42
 2014 338    65   30.86  11.57    0.71  29.01   6.18   5.94   4.44   4.34   5.55   5.32  22.91  19.39
 2014 339    66   31.71  10.98    0.69  30.34   6.15   5.90   4.44   4.34   5.55   5.31  22.59  19.84
 2014 340    67   32.22  11.30    0.70  30.61   6.10   5.84   4.44   4.33   5.35   5.11  24.44  21.00
 2014 341    68   34.22   7.18    0.48  34.16   6.06   5.79   4.44   4.33   5.65   5.38  20.22  17.37
 2014 342    69   34.69   4.23    0.28  34.69   6.03   5.76   4.43   4.31   4.74   4.50  16.43  14.72
 2014 343    70   33.46  12.82    0.79  31.45   6.02   5.75   4.41   4.30   4.49   4.27  15.60  12.89
 2014 344    71   33.77  13.29    0.83  31.15   6.08   5.81   4.46   4.34   3.80   3.62  14.83  10.41
 2014 345    72   34.13  13.23    0.83  31.58   6.16   5.88   4.47   4.35   3.72   3.54  14.47  10.12
 2014 346    73   36.18   7.33    0.49  36.16   6.24   5.95   4.48   4.36   3.40   3.23  12.06   9.62
 2014 347    74   34.68  13.97    0.88  32.02   6.27   5.97   4.48   4.36   4.28   4.07  16.18  11.24
 2014 348    75   35.01  13.91    0.88  32.37   6.32   6.02   4.49   4.36   4.27   4.05  16.53  11.18
 2014 349    76   35.35  13.72    0.88  32.71   6.37   6.06   4.49   4.36   4.25   4.03  17.28  11.24
 2014 350    77   35.72  14.05    0.88  33.37   6.42   6.09   4.50   4.37   5.17   4.90  18.32  12.98
 2014 351    78   36.47  12.84    0.82  34.98   6.45   6.11   4.50   4.37   5.78   5.46  19.21  14.63
 2014 352    79   36.34  14.48    0.91  33.88   6.45   6.11   4.50   4.36   4.65   4.39  16.56  11.75
 2014 353    80   36.71  14.66    0.92  34.39   6.49   6.14   4.51   4.37   5.76   5.44  19.12  14.41
 2014 354    81   37.03  14.53    0.90  34.77   6.52   6.17   4.51   4.36   5.97   5.63  21.67  17.02
 2014 355    82   39.04   9.84    0.65  38.75   6.53   6.17   4.51   4.36   5.93   5.58  22.28  18.60
 2014 356    83   39.37   9.64    0.64  39.11   6.51   6.15   4.49   4.34   5.78   5.44  23.73  21.09
 2014 357    84   39.47  10.56    0.69  39.01   6.47   6.10   4.49   4.33   5.67   5.32  24.63  21.82
 2014 358    85   40.45   8.26    0.55  40.37   6.43   6.06   4.48   4.33   5.70   5.34  23.85  21.08
