*Fresh Weight Output File

!----------------------------
! Variable Descriptions (unit)
!----------------------------
!YEAR  Year of current date of simulation
!DOY  Day of year (d)
!DAS  Days after start of simulation (d)
!PDMCD  Dry matter con. of harvested product (fraction)
!AFPWD  Average fresh fruit (pod, ear) weight (g/fruit)
!ADPWD  Average dry fruit (pod, ear) weight (g/fruit)
!PAGED  Age of oldest pod or ear (days)
!XMAGE  Required pod age for Multi-Harvest (days)
!TOSDN  Total Number of seeds (#/ha)
!TOWSD  Total Seed mass (kg/ha)
!TOSHN  Total Number of shells (#/ha)
!TOWSH  Total Shell mass (kg/ha)
!TOPOW  Total pod weight (kg/ha)
!TOFPW  Total pod (ear) fresh weight (kg/ha)
!MTFPW  Fresh weight of mature fruits (kg/ha)
!MTDPW  Dry weight of mature fruits (sd and sh)(kg/ha)
!MTDSD  Seed mass of mature fruits (kg/ha)
!MTDSH  Shell mass of mature fruits (kg/ha)
!HSHELWT  Harvested shell weight (kg/ha)
!HSDWT  Harvested seed weight (kg/ha)
!HPODWT  Harvested pod weight (kg/ha)
!HFPOW  Harvested fresh pod weight (kg/ha)
!CPODN  Cum. pod weight (kg/ha)
!CMFNM  Cum. mature fruit number (#)
!CHPDT  Cum. har. pod weight of mat. fruits (kg/ha)
!CHFPW  Cum. har. fresh weight of mat. fruits (kg/ha)
!CHNUM  Cum. harvest number (#)

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 04:27:17

*RUN   1        : Radiance                  CRGRO048 UFWM1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFWM1401 SR 2014 WIMAUMA STRAWBERRY GROWTH AND YIELD ANALYSIS
 DATA PATH      :
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP    PDMCD    AFPWD    ADPWD    PAGED    XMAGE    CHNUM    TOSHN    TOWSH    MTDSH    HSHEL    TOPOW    HPODW    CHPDT    CPODN    TOFPW    MTFPW    MTDPW    HFPOW    CHFPW    CMFNM    TOSDN    TOWSD    MTDSD    HSDWT
 2014 309    36    27      0.0      0.0      0.0      0.0     10.0        0      0.0      0.0      0.0      0.0      0.0      0.0      0.0        0        0      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
 2014 310    37    28      0.0      0.0      0.0      0.8     10.0        0      0.1      0.0      0.0      0.0      0.0      0.0      0.0        0        0      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
 2014 311    38    29      0.2      0.1      0.0      1.7     10.0        0      0.3      0.1      0.0      0.0      0.1      0.0      0.0        0        0      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
 2014 312    39    30      0.2      0.3      0.1      2.5     10.0        0      0.6      0.3      0.0      0.0      0.3      0.0      0.0        0        2      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
 2014 313    40    31      0.2      0.6      0.1      3.4     10.0        0      0.8      0.8      0.0      0.0      0.8      0.0      0.0        0        5      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
 2014 314    41    32      0.2      0.8      0.1      4.3     10.0        0      1.1      1.4      0.0      0.0      1.4      0.0      0.0        0        9      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
 2014 315    42    33      0.2      1.1      0.2      5.1     10.0        0      1.4      2.5      0.0      0.0      2.5      0.0      0.0        0       16      0.0      0.0      0.0      0.0        0     11.9      0.0      0.0      0.0
 2014 316    43    34      0.2      1.9      0.3      5.9     10.0        0      1.5      4.6      0.0      0.0      4.6      0.0      0.0        0       29      0.0      0.0      0.0      0.0        0     11.9      0.0      0.0      0.0
 2014 317    44    35      0.2      2.4      0.4      6.5     10.0        0      1.6      6.1      0.0      0.0      6.2      0.0      0.0       10       39      0.0      0.0      0.0      0.0        0     56.3      0.1      0.0      0.0
 2014 318    45    36      0.2      3.3      0.5      7.3     10.0        0      1.7      8.6      0.0      0.0      8.9      0.0      0.0       20       56      0.0      0.0      0.0      0.0        0     96.6      0.2      0.0      0.0
 2014 319    46    37      0.2      4.2      0.7      8.0     10.0        0      1.8     11.4      0.0      0.0     11.9      0.0      0.0       30       74      0.0      0.0      0.0      0.0        0    128.6      0.5      0.0      0.0
 2014 320    47    38      0.2      5.8      0.9      8.8     10.0        0      1.9     16.1      0.0      0.0     17.1      0.0      0.0       50      107      0.0      0.0      0.0      0.0        0    186.3      1.0      0.0      0.0
 2014 321    48    39      0.2      7.5      1.2      9.7     10.0        0      2.0     22.5      0.0      0.0     24.3      0.0      0.0       70      152      0.0      0.0      0.0      0.0        0    238.6      1.8      0.0      0.0
 2014 322    49    40      0.2      8.1      1.3     10.2     10.0        0      2.1     25.7      0.0      0.0     27.9      0.0      0.0      100      174      0.0      0.0      0.0      0.0        0    252.1      2.2      0.0      0.0
 2014 323    50    41      0.2      8.6      1.4     10.6     10.0        0      2.2     27.8      0.0      0.0     30.3      0.0      0.0      130      189      0.0      0.0      0.0      0.0        0    252.1      2.5      0.0      0.0
 2014 324    51    42      0.2      9.1      1.5     11.1     10.0        0      2.3     30.9      2.3      0.0     33.8      0.0      0.0      160      211     15.9      2.6      0.0      0.0        0    264.8      3.0      0.3      0.0
 2014 325    52    43      0.2     10.4      1.7     11.9     10.0        0      2.4     36.9     10.8      0.0     40.7      0.0      0.0      200      254     75.9     12.1      0.0      0.0        0    281.6      3.8      1.3      0.0
 2014 326    53    44      0.2     11.4      1.8     12.8     10.0        0      2.7     45.1     19.5      0.0     50.1      0.0      0.0      250      313    137.4     22.0      0.0      0.0        1    293.7      5.0      2.5      0.0
 2014 327    54    45      0.2     12.6      2.0     13.6     10.0        0      3.0     53.6     27.7      0.0     59.9      0.0      0.0      310      374    195.6     31.3      0.0      0.0        2    312.6      6.2      3.6      0.0
 2014 328    55    46      0.2     14.1      2.3     14.3     10.0        1      3.1     61.7     40.7     40.7     69.3     46.3     46.3      380      433    289.1     46.3    289.1    289.1        3    339.3      7.5      5.6      5.6
 2014 329    56    47      0.2      8.1      1.3     15.2     10.0        1      2.2     26.6     10.3      0.0     29.2      0.0     46.3      410      182     72.6     11.6      0.0    289.1        3    182.4      2.6      1.3      0.0
 2014 330    57    48      0.2      8.3      1.3     15.9     10.0        1      2.5     30.3     11.1      0.0     33.4      0.0     46.3      440      209     78.6     12.6      0.0    289.1        3    202.0      3.1      1.4      0.0
 2014 331    58    49      0.2      8.3      1.3     16.4     10.0        1      2.8     33.6     14.5      0.0     37.0      0.0     46.3      480      231    102.6     16.4      0.0    289.1        3    224.5      3.5      1.9      0.0
 2014 332    59    50      0.2      8.9      1.4     16.8     10.0        1      2.8     35.8     17.4      0.0     39.6      0.0     46.3      520      247    123.6     19.8      0.0    289.1        3    224.5      3.8      2.3      0.0
 2014 333    60    51      0.2      9.3      1.5     17.4     10.0        1      2.9     39.0     21.0      0.0     43.3      0.0     46.3      560      271    149.6     23.9      0.0    289.1        4    268.2      4.3      2.9      0.0
 2014 334    61    52      0.2     10.0      1.6     18.2     10.0        1      3.1     44.6     23.9      0.0     49.8      0.0     46.3      610      311    171.7     27.5      0.0    289.1        5    304.6      5.2      3.5      0.0
 2014 335    62    53      0.2     10.5      1.7     19.1     10.0        2      3.4     51.3     28.2     28.2     57.6     32.6     78.8      670      360    203.6     32.6    203.6    492.7        6    325.0      6.3      4.4      4.4
 2014 336    63    54      0.2      6.9      1.1     20.0     10.0        2      3.0     30.2      5.1      0.0     32.9      0.0     78.8      700      206     35.8      5.7      0.0    492.7        6    234.0      2.7      0.6      0.0
 2014 337    64    55      0.2      7.6      1.2     20.9     10.0        2      3.5     39.0     11.5      0.0     42.7      0.0     78.8      740      267     80.5     12.9      0.0    492.7        6    321.3      3.7      1.4      0.0
 2014 338    65    56      0.2      7.7      1.2     21.8     10.0        3      4.4     48.6     16.0     16.0     53.6     18.1     96.9      790      335    113.2     18.1    113.2    605.9        6    362.0      5.0      2.1      2.1
 2014 339    66    57      0.2      6.2      1.0     22.7     10.0        3      4.7     43.0      4.6      0.0     47.0      0.0     96.9      840      294     32.3      5.2      0.0    605.9        6    327.5      4.0      0.6      0.0
 2014 340    67    58      0.2      7.0      1.1     23.5     10.0        3      5.4     55.1     14.2      0.0     60.5      0.0     96.9      900      378    100.4     16.1      0.0    605.9        6    386.1      5.4      1.9      0.0
 2014 341    68    59      0.2      7.6      1.2     24.5     10.0        3      6.1     67.2     26.9      0.0     74.1      0.0     96.9      970      463    191.0     30.6      0.0    605.9        7    435.6      6.8      3.7      0.0
 2014 342    69    60      0.2      8.4      1.3     25.4     10.0        4      6.5     78.8     34.6     34.6     87.1     39.6    136.5     1060      544    247.2     39.6    247.2    853.1        8    539.2      8.3      4.9      4.9
 2014 343    70    61      0.2      5.7      0.9     26.0     10.0        4      6.3     53.2      7.6      0.0     57.5      0.0    136.5     1120      359     53.5      8.6      0.0    853.1        8    530.1      4.3      0.9      0.0
 2014 344    71    62      0.2      6.1      1.0     26.5     10.0        4      6.6     59.4     16.4      0.0     64.5      0.0    136.5     1180      403    115.4     18.5      0.0    853.1        8    530.1      5.1      2.0      0.0
 2014 345    72    63      0.2      6.6      1.1     26.9     10.0        5      6.9     66.5     17.4     17.4     72.4     19.6    156.1     1250      452    122.4     19.6    122.4    975.5        8    530.1      5.9      2.2      2.2
 2014 346    73    64      0.2      5.4      0.9     27.2     10.0        5      6.5     52.4      0.0      0.0     56.5      0.0    156.1     1310      353      0.0      0.0      0.0    975.5        8    551.0      4.1      0.0      0.0
 2014 347    74    65      0.2      6.1      1.0     27.7     10.0        5      6.7     59.8      7.5      0.0     64.9      0.0    156.1     1370      405     52.5      8.4      0.0    975.5        8    551.0      5.1      0.9      0.0
 2014 348    75    66      0.2      6.7      1.1     28.2     10.0        5      6.9     67.2      7.9      0.0     73.3      0.0    156.1     1440      458     55.6      8.9      0.0    975.5        8    641.7      6.1      1.0      0.0
 2014 349    76    67      0.2      7.4      1.2     28.6     10.0        6      7.0     75.6     16.0     16.0     82.9     18.0    174.1     1520      518    112.4     18.0    112.4   1087.9        8    641.7      7.2      2.0      2.0
 2014 350    77    68      0.2      7.0      1.1     29.1     10.0        6      6.7     68.6     10.2      0.0     75.0      0.0    174.1     1600      469     71.6     11.5      0.0   1087.9        8    648.0      6.4      1.2      0.0
 2014 351    78    69      0.2      8.2      1.3     29.8     10.0        6      6.8     81.2     11.2      0.0     89.3      0.0    174.1     1690      558     78.5     12.6      0.0   1087.9        8    705.3      8.1      1.4      0.0
 2014 352    79    70      0.2      8.7      1.4     30.3     10.0        7      7.1     90.2     20.6     20.6     99.6     23.2    197.2     1790      623    144.7     23.2    144.7   1232.6        9    784.2      9.4      2.6      2.6
 2014 353    80    71      0.2      7.4      1.2     31.0     10.0        7      7.6     81.9     17.5      0.0     90.5      0.0    197.2     1880      566    122.9     19.7      0.0   1232.6       10    717.3      8.6      2.2      0.0
 2014 354    81    72      0.2      7.9      1.3     31.8     10.0        7      8.8    100.1     19.6      0.0    111.2      0.0    197.2     1990      695    138.4     22.1      0.0   1232.6       11    785.0     11.0      2.5      0.0
 2014 355    82    73      0.2      8.8      1.4     32.7     10.0        8      9.8    123.8     50.8     50.8    137.9     57.6    254.8     2130      862    359.9     57.6    359.9   1592.5       12    860.8     14.1      6.8      6.8
 2014 356    83    74      0.2      7.0      1.1     33.5     10.0        8      9.4     94.9     21.2      0.0    104.8      0.0    254.8     2230      655    150.2     24.0      0.0   1592.5       13    684.2      9.9      2.8      0.0
 2014 357    84    75      0.2      8.0      1.3     34.3     10.0        8     10.3    119.0     41.6      0.0    131.7      0.0    254.8     2360      823    296.0     47.4      0.0   1592.5       14    735.5     12.8      5.7      0.0
 2014 358    85    76      0.2      9.2      1.5     35.2     10.0        9     11.0    145.9     61.1     61.1    161.8     70.0    324.8     2520     1011    437.7     70.0    437.7   2030.2       16   1017.7     15.9      8.9      8.9
 2014 359    86    77      0.2      6.7      1.1     36.0     10.0        9     10.6    104.3     11.6      0.0    113.5      0.0    324.8     2630      709     82.0     13.1      0.0   2030.2       16    947.9      9.1      1.6      0.0
 2014 360    87    78      0.2      7.2      1.2     36.8     10.0        9     11.9    125.8     36.7      0.0    137.8      0.0    324.8     2770      861    260.9     41.8      0.0   2030.2       17    947.9     12.0      5.1      0.0
 2014 361    88    79      0.2      8.5      1.4     37.7     10.0        9     13.1    161.7     53.4      0.0    177.6      0.0    324.8     2950     1110    381.5     61.0      0.0   2030.2       18   1133.8     15.9      7.6      0.0
 2014 362    89    80      0.2      9.6      1.5     38.6     10.0        9     14.2    196.8     70.7      0.0    217.2      0.0    324.8     3170     1358    508.2     81.3      0.0   2030.2       20   1474.3     20.5     10.6      0.0
 2014 363    90    81      0.2     10.6      1.7     39.4     10.0       10     15.4    234.9     88.2     88.2    261.2    102.1    426.9     3430     1632    638.2    102.1    638.2   2668.4       22   1630.0     26.3     13.9     13.9
 2014 364    91    82      0.2      8.4      1.3     40.4     10.0       10     13.9    167.7     28.0      0.0    185.1      0.0    426.9     3620     1157    196.4     31.4      0.0   2668.4       23   1453.5     17.4      3.4      0.0
 2014 365    92    83      0.2      9.2      1.5     41.4     10.0       10     14.6    190.9     69.9      0.0    213.7      0.0    426.9     3830     1335    492.2     78.8      0.0   2668.4       25   1679.7     22.8      8.9      0.0
 2015 001    93    84      0.2     10.4      1.7     42.4     10.0       10     15.9    235.9    118.4      0.0    264.3      0.0    426.9     4090     1652    839.6    134.3      0.0   2668.4       28   1910.9     28.4     16.0      0.0
