*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 04:27:17

*RUN   1        : Radiance                  CRGRO048 UFWM1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFWM1401 SR 2014 WIMAUMA STRAWBERRY GROWTH AND YIELD ANALYSIS
 DATA PATH      :
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2014 282     9     0     4.4     0.0     4.4    0.00    3.57      0.0     0.0     2.2     2.2    4.40    3.01     0.0    2.3    0.0    0.00    0.02
 2014 283    10     1     4.4     0.0     4.4    0.00    3.56      0.0     0.0     2.2     2.2    4.40    3.01     0.0    2.3    0.0    0.00    0.03
 2014 284    11     2     4.5     0.0     4.5    0.00    3.53      0.0     0.0     2.1     2.4    4.39    2.99     0.0    2.3    0.3    0.01    0.05
 2014 285    12     3     4.6     0.0     4.6    0.00    3.48      0.0     0.0     2.1     2.5    4.38    2.97     0.0    2.3    0.3    0.02    0.07
 2014 286    13     4     4.8     0.0     4.8    0.00    3.44      0.0     0.0     2.1     2.7    4.37    2.95     0.0    2.2    0.3    0.03    0.08
 2014 287    14     5     4.8     0.0     4.8    0.00    3.41      0.0     0.0     2.1     2.7    4.36    2.93     0.0    2.2    0.1    0.04    0.11
 2014 288    15     6     5.0     0.0     5.0    0.00    3.38      0.0     0.0     2.1     2.9    4.34    2.92     0.0    2.2    0.3    0.05    0.12
 2014 289    16     7     5.1     0.0     5.1    0.00    3.34      0.0     0.0     2.0     3.1    4.33    2.90     0.0    2.2    0.3    0.07    0.15
 2014 290    17     8     5.3     0.0     5.3    0.00    3.31      0.0     0.0     2.0     3.3    4.32    2.89     0.0    2.2    0.3    0.08    0.17
 2014 291    18     9     5.5     0.0     5.5    0.00    3.28      0.0     0.0     2.1     3.4    4.31    2.87     0.0    2.2    0.3    0.09    0.19
 2014 292    19    10     5.7     0.0     5.7    0.00    3.25      0.0     0.0     2.1     3.6    4.30    2.86     0.0    2.2    0.3    0.10    0.21
 2014 293    20    11     5.9     0.0     5.9    0.00    3.25      0.0     0.0     2.2     3.7    4.29    2.84     0.0    2.2    0.3    0.11    0.24
 2014 294    21    12     6.1     0.0     6.1    0.00    3.24      0.0     0.0     2.3     3.7    4.28    2.82     0.0    2.1    0.2    0.12    0.27
 2014 295    22    13     6.4     0.0     6.4    0.00    3.25      0.0     0.0     2.5     3.9    4.29    2.81     0.0    2.1    0.4    0.13    0.30
 2014 296    23    14     6.7     0.0     6.7    0.00    3.25      0.0     0.0     2.7     4.0    4.29    2.79     0.0    2.1    0.5    0.14    0.33
 2014 297    24    15     7.1     0.0     7.1    0.00    3.25      0.0     0.0     2.9     4.2    4.29    2.78     0.0    2.1    0.5    0.16    0.36
 2014 298    25    16     7.5     0.0     7.5    0.00    3.25      0.0     0.0     3.2     4.3    4.29    2.77     0.0    2.1    0.6    0.17    0.39
 2014 299    26    17     8.0     0.0     8.0    0.00    3.27      0.0     0.0     3.5     4.5    4.29    2.76     0.0    2.1    0.7    0.19    0.41
 2014 300    27    18     8.5     0.0     8.5    0.00    3.27      0.0     0.0     3.7     4.7    4.29    2.75     0.0    2.1    0.7    0.21    0.45
 2014 301    28    19     8.9     0.0     8.9    0.00    3.27      0.0     0.0     4.0     4.9    4.28    2.74     0.0    2.1    0.7    0.22    0.48
 2014 302    29    20     9.3     0.0     9.3    0.00    3.27      0.0     0.0     4.3     5.1    4.27    2.73     0.0    2.1    0.6    0.25    0.52
 2014 303    30    21     9.7     0.0     9.7    0.00    3.27      0.0     0.0     4.6     5.2    4.27    2.72     0.0    2.1    0.6    0.27    0.56
 2014 304    31    22    10.3     0.0    10.3    0.00    3.29      0.0     0.0     4.9     5.4    4.27    2.71     0.0    2.1    0.9    0.29    0.61
 2014 305    32    23    11.0     0.0    11.0    0.00    3.30      0.0     0.0     5.4     5.6    4.28    2.71     0.0    2.1    1.0    0.31    0.64
 2014 306    33    24    11.8     0.0    11.8    0.00    3.32      0.0     0.0     5.9     5.9    4.29    2.72     0.0    2.1    1.1    0.33    0.67
 2014 307    34    25    12.5     0.0    12.5    0.00    3.33      0.0     0.0     6.3     6.2    4.29    2.71     0.0    2.1    1.1    0.35    0.70
 2014 308    35    26    13.1     0.0    13.1    0.00    3.33      0.0     0.0     6.7     6.4    4.27    2.70     0.0    2.1    0.9    0.38    0.75
 2014 309    36    27    13.8     0.0    13.8    0.00    3.33      0.0     0.0     7.2     6.6    4.27    2.69     0.0    2.1    1.0    0.42    0.82
 2014 310    37    28    14.3     0.0    14.3    0.00    3.33      0.0     0.0     7.5     6.8    4.26    2.69     0.0    2.1    0.9    0.46    0.88
 2014 311    38    29    15.2     0.0    15.2    0.00    3.34      0.0     0.0     8.1     7.1    4.27    2.68     3.4    2.1    1.2    0.49    0.94
 2014 312    39    30    15.8     0.0    15.8    0.00    3.34      0.0     0.0     8.5     7.3    4.26    2.68     3.4    2.1    1.0    0.53    1.00
 2014 313    40    31    16.1     0.0    16.1    0.00    3.32      0.0     0.0     8.7     7.4    4.24    2.66     3.3    2.1    0.5    0.58    1.06
 2014 314    41    32    17.2     0.0    17.1    0.00    3.35      0.0     0.0     9.3     7.8    4.26    2.67     3.3    2.1    1.5    0.63    1.13
 2014 315    42    33    18.2     0.0    18.1    0.00    3.35      0.0     0.0     9.9     8.1    4.26    2.66     3.3    2.1    1.5    0.68    1.20
 2014 316    43    34    19.3     0.0    19.1    0.00    3.36      0.0     0.0    10.6     8.5    4.26    2.66     3.3    2.1    1.6    0.72    1.28
 2014 317    44    35    20.4     0.0    20.2    0.00    3.37      0.0     0.0    11.3     8.9    4.26    2.67     3.3    2.1    1.6    0.77    1.35
 2014 318    45    36    21.0     0.0    20.7    4.51    3.36      0.0     0.0    11.6     9.1    4.25    2.66     3.3    2.1    0.9    0.83    1.42
 2014 319    46    37    22.2     0.0    21.8    4.51    3.38      0.0     0.0    12.3     9.5    4.26    2.66     3.3    2.1    1.8    0.88    1.50
 2014 320    47    38    23.3     0.0    22.7    4.53    3.37      0.0     0.0    12.9     9.8    4.25    2.65     3.3    2.1    1.5    0.95    1.59
 2014 321    48    39    23.7     0.1    22.9    4.56    3.35      0.0     0.0    13.0     9.9    4.23    2.64     3.3    2.0    0.7    1.03    1.70
 2014 322    49    40    24.1     0.1    23.1    4.55    3.35      0.0     0.0    13.1    10.0    4.23    2.63     3.3    2.0    0.5    1.08    1.76
 2014 323    50    41    25.3     0.1    24.2    4.56    3.38      0.0     0.0    13.8    10.4    4.25    2.65     3.3    2.1    1.7    1.10    1.81
 2014 324    51    42    26.4     0.1    25.3    4.56    3.38      0.0     0.0    14.5    10.8    4.25    2.65     3.3    2.1    1.7    1.14    1.88
 2014 325    52    43    27.5     0.2    26.1    4.55    3.37      0.0     0.0    15.0    11.1    4.24    2.64     3.3    2.1    1.4    1.22    1.98
 2014 326    53    44    28.0     0.2    26.2    4.55    3.35      0.0     0.0    15.1    11.1    4.22    2.62     3.3    2.0    0.7    1.31    2.10
 2014 327    54    45    28.9     0.3    26.9    4.58    3.36      0.0     0.0    15.5    11.4    4.22    2.62     3.3    2.0    1.4    1.40    2.23
 2014 328    55    46    28.2     0.1    27.5    4.66    3.35      0.0     0.0    15.9    11.6    4.22    2.61     3.3    2.0    1.3    2.84    2.36
 2014 329    56    47    28.4     0.1    27.4    4.66    3.33      0.0     0.0    15.9    11.5    4.19    2.59     3.3    2.0    0.3    2.94    2.50
 2014 330    57    48    29.1     0.1    28.0    4.63    3.34      0.0     0.0    16.2    11.7    4.21    2.60     3.3    2.0    1.0    3.01    2.59
 2014 331    58    49    30.7     0.2    29.5    4.62    3.36      0.0     0.0    17.2    12.3    4.23    2.61     3.3    2.0    2.3    3.07    2.67
 2014 332    59    50    32.3     0.2    31.0    4.62    3.37      0.0     0.0    18.1    12.9    4.23    2.62     3.3    2.0    2.3    3.10    2.74
 2014 333    60    51    33.9     0.2    32.4    4.61    3.38      0.0     0.0    19.0    13.4    4.23    2.62     3.3    2.0    2.2    3.18    2.84
