*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 04:27:17

*RUN   1        : Radiance                  CRGRO048 UFWM1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFWM1401 SR 2014 WIMAUMA STRAWBERRY GROWTH AND YIELD ANALYSIS
 DATA PATH      :
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2014 273     0       0    6258   25593       0   25593   25593     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 274     1       0    6258   25592       0   25592   25592     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 275     2       0    6258   25591       0   25591   25591     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 276     3       0    6257   25590       0   25590   25590     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 277     4       0    6257   25589       0   25589   25589     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 278     5       0    6257   25588       0   25588   25588     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 279     6       0    6257   25587       0   25587   25587     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 280     7       0    6256   25587       0   25587   25587     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 281     8       0    6256   25586       0   25586   25586     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 282     9       0    6256   25585       0   25585   25585     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 283    10       0    6256   25585       0   25585   25584     0.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 284    11       0    6255   25584       0   25584   25583     0.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 285    12       0    6255   25584       0   25583   25582     0.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 286    13       0    6255   25583       1   25583   25582     1.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 287    14       0    6255   25583       1   25582   25581     1.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 288    15       0    6255   25583       1   25582   25580     1.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 289    16       0    6254   25582       1   25581   25579     2.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 290    17       0    6254   25582       2   25581   25578     2.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 291    18       0    6254   25582       2   25580   25577     3.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 292    19       0    6254   25582       2   25580   25576     3.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 293    20       0    6253   25582       3   25579   25576     3.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 294    21       0    6253   25582       3   25579   25575     4.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 295    22       0    6253   25582       3   25579   25574     4.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 296    23       0    6253   25582       4   25579   25573     5.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 297    24       0    6253   25582       4   25578   25572     5.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 298    25       0    6252   25582       4   25578   25572     6.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 299    26       0    6252   25583       5   25578   25571     7.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 300    27       0    6252   25583       5   25578   25570     7.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 301    28       0    6252   25583       6   25578   25569     8.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 302    29       0    6252   25583       6   25577   25569     8.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
