*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 03:16:06

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      :
 TREATMENT  1   : Radiance                  CRGRO048
  
!                                                                                                                                                                                                                                                           Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                                           0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD  PST1A  PST2A   KSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD   RLAD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D    SNW0C   SNW1C
 2014 282     9     0    4.6      0  0.065     49     74      0     52    123    123      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.40   0.00   0.00      0      0  132.2   0.01   0.02    0.0   0.13      5    0.52    0.26    0.00    0.00    0.00    0.00    0.00    0.00    0.00        0       1
 2014 283    10     1    4.9      0  0.065     49     74      0     52    123    123      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.40   0.00   0.00      0      0  132.4   0.06   0.09    0.0   0.15      5    0.52    0.26    0.00    0.00    0.00    0.00    0.00    0.00    0.00        0       1
 2014 284    11     2    5.3      0  0.065     49     79      0     55    128    128      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.39   0.00   0.00      0      0  132.7   0.06   0.10    0.0   0.18      6    0.54    0.28    0.00    0.00    0.00    0.00    0.00    0.00    0.00        1       2
 2014 285    12     3    5.6      0  0.065     49     84      0     60    133    133      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.38   0.00   0.00      0      0  133.0   0.07   0.11    0.0   0.20      6    0.56    0.31    0.01    0.00    0.00    0.00    0.00    0.00    0.00        1       3
 2014 286    13     4    5.9      0  0.065     48     90      0     64    139    139      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.37   0.00   0.00      0      0  133.3   0.07   0.11    0.0   0.22      6    0.58    0.33    0.02    0.00    0.00    0.00    0.00    0.00    0.00        2       4
 2014 287    14     5    6.3      0  0.064     48     93      0     66    141    141      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.36   0.00   0.00      0      0  133.8   0.08   0.12    0.0   0.25      7    0.58    0.34    0.02    0.00    0.00    0.00    0.00    0.00    0.00        3       4
 2014 288    15     6    6.7      0  0.064     48     98      0     71    146    146      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.35   0.00   0.00      0      0  134.2   0.08   0.12    0.0   0.27      7    0.60    0.36    0.04    0.00    0.00    0.00    0.00    0.00    0.00        3       5
 2014 289    16     7    7.0      0  0.064     47    105      0     76    152    152      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.34   0.00   0.00      0      0  134.4   0.08   0.13    0.0   0.30      8    0.62    0.38    0.05    0.00    0.00    0.00    0.00    0.00    0.00        4       6
 2014 290    17     8    7.3      0  0.063     47    112      0     82    159    159      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.33   0.00   0.00      0      0  134.6   0.09   0.13    0.0   0.32      8    0.64    0.40    0.07    0.00    0.00    0.00    0.00    0.00    0.00        5       7
 2014 291    18     9    7.6      0  0.064     48    119      0     88    166    166      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.32   0.00   0.00      0      0  134.9   0.09   0.14    0.0   0.35      9    0.66    0.42    0.09    0.00    0.00    0.00    0.00    0.00    0.00        5       8
 2014 292    19    10    8.0      0  0.065     48    125      0     93    173    173      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.30   0.00   0.00      0      0  135.5   0.09   0.14    0.0   0.37      9    0.67    0.44    0.10    0.01    0.00    0.00    0.00    0.00    0.00        6       9
 2014 293    20    11    8.3      0  0.071     51    129      0     96    180    180      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.30   0.00   0.00      0      0  138.0   0.09   0.15    0.0   0.39     10    0.68    0.45    0.11    0.01    0.00    0.00    0.00    0.00    0.00        7      10
 2014 294    21    12    8.7      0  0.076     54    132      0     98    186    186      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.29   0.00   0.00      0      0  141.9   0.10   0.15    0.0   0.42     10    0.68    0.46    0.11    0.02    0.00    0.00    0.00    0.00    0.00        8      12
 2014 295    22    13    9.0      0  0.084     58    136      0    101    194    194      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.30   0.00   0.00      0      0  144.9   0.10   0.16    0.0   0.44     10    0.69    0.47    0.12    0.02    0.00    0.00    0.00    0.00    0.00        8      13
 2014 296    23    14    9.4      0  0.092     62    142      0    106    204    204      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.30   0.00   0.00      0      0  146.8   0.10   0.16    0.0   0.47     11    0.70    0.48    0.13    0.03    0.00    0.00    0.00    0.00    0.00        9      14
 2014 297    24    15    9.7      0  0.100     67    148      0    112    216    216      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.29   0.00   0.00      0      0  148.2   0.11   0.17    0.0   0.49     11    0.71    0.50    0.15    0.04    0.00    0.00    0.00    0.00    0.00       10      16
 2014 298    25    16   10.1      0  0.109     73    155      0    118    228    228      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.29   0.00   0.00      0      0  148.7   0.11   0.17    0.0   0.52     12    0.72    0.51    0.16    0.05    0.01    0.00    0.00    0.00    0.00       11      17
 2014 299    26    17   10.4      0  0.118     80    162      0    125    242    242      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.30   0.00   0.00      0      0  147.9   0.11   0.18    0.0   0.54     13    0.74    0.53    0.17    0.06    0.01    0.00    0.00    0.00    0.00       12      18
 2014 300    27    18   10.7      0  0.127     86    170      0    132    256    256      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.29   0.00   0.00      0      0  147.7   0.12   0.18    0.0   0.56     13    0.76    0.55    0.19    0.08    0.02    0.00    0.00    0.00    0.00       13      20
 2014 301    28    19   11.0      0  0.138     93    177      0    139    269    269      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.29   0.00   0.00      0      0  148.6   0.12   0.19    0.0   0.58     14    0.77    0.57    0.20    0.09    0.02    0.00    0.00    0.00    0.00       14      21
 2014 302    29    20   11.3      0  0.149     99    183      0    146    282    282      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.28   0.00   0.00      0      0  150.5   0.12   0.19    0.0   0.61     15    0.79    0.58    0.21    0.10    0.03    0.00    0.00    0.00    0.00       16      23
 2014 303    30    21   11.7      0  0.160    105    188      0    153    293    293      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.27   0.00   0.00      0      0  153.1   0.12   0.20    0.0   0.63     16    0.80    0.60    0.22    0.11    0.04    0.00    0.00    0.00    0.00       17      25
 2014 304    31    22   12.1      0  0.177    113    196      0    163    310    310      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.28   0.00   0.00      0      0  155.8   0.13   0.20    0.0   0.66     17    0.82    0.63    0.24    0.12    0.05    0.00    0.00    0.00    0.00       19      27
 2014 305    32    23   12.3      1  0.188    124    205      0    175    329    329      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.29   0.00   0.00      0      0  152.4   0.13   0.20    0.0   0.68     18    0.85    0.66    0.26    0.14    0.06    0.00    0.00    0.00    0.00       20      29
 2014 306    33    24   12.5      1  0.201    134    215      0    188    349    349      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.29   0.00   0.00      0      0  150.0   0.13   0.21    0.0   0.69     19    0.88    0.69    0.29    0.15    0.08    0.01    0.00    0.00    0.00       21      30
 2014 307    34    25   12.8      1  0.216    145    224      0    201    369    369      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.29   0.00   0.00      0      0  148.8   0.13   0.21    0.0   0.71     21    0.91    0.72    0.31    0.17    0.09    0.01    0.00    0.00    0.00       22      32
 2014 308    35    26   13.1      1  0.231    155    233      0    213    388    388      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.28   0.00   0.00      0      0  149.2   0.13   0.21    0.0   0.73     22    0.94    0.75    0.33    0.19    0.10    0.01    0.00    0.00    0.00       24      34
 2014 309    36    27   13.4      1  0.249    165    242      0    224    406    406      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.27   0.00   0.00      0      0  151.5   0.13   0.22    0.0   0.76     23    0.96    0.77    0.34    0.20    0.11    0.02    0.00    0.00    0.00       27      37
 2014 310    37    28   13.8      1  0.267    173    250      0    234    423    423      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.27   0.00   0.00      0      0  153.9   0.14   0.22    0.0   0.78     24    0.98    0.80    0.36    0.21    0.12    0.02    0.00    0.00    0.00       29      40
 2014 311    38    29   14.1      2  0.285    185    260      0    248    446    446      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.27   0.00   0.00      0      0  153.9   0.14   0.23    0.0   0.81     25    1.01    0.83    0.38    0.23    0.14    0.03    0.00    0.00    0.00       32      43
 2014 312    39    30   14.4      2  0.301    195    269      0    260    464    464      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.26   0.00   0.00      0      0  154.4   0.14   0.23    0.0   0.83     27    1.03    0.85    0.40    0.24    0.15    0.03    0.00    0.00    0.00       34      46
 2014 313    40    31   14.7      2  0.313    201    274      0    266    475    476      0     0.0  0.000      1      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.24   0.00   0.00      0      1  155.8   0.14   0.23    0.0   0.85     27    1.04    0.87    0.41    0.25    0.15    0.04    0.00    0.00    0.00       37      49
 2014 314    41    32   15.1      2  0.334    214    287      0    282    501    503      0     0.0  0.000      2      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.26   0.00   0.00      0      2  155.8   0.14   0.24    0.0   0.87     29    1.08    0.90    0.44    0.27    0.17    0.05    0.00    0.00    0.00       40      52
 2014 315    42    33   15.4      2  0.356    229    300      0    299    529    532      0     0.0  0.000      3      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.26   0.00   0.01      0      3  155.6   0.14   0.24    0.0   0.90     31    1.11    0.94    0.46    0.29    0.18    0.06    0.00    0.00    0.00       44      56
 2014 316    43    34   15.7      5  0.378    244    314      0    317    558    563      0     0.0  0.000      5      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.26   0.00   0.01      0      5  154.8   0.15   0.25    0.0   0.92     32    1.15    0.98    0.49    0.31    0.20    0.07    0.00    0.00    0.00       47      59
 2014 317    44    35   16.0      5  0.398    259    328      0    334    587    594     77     0.0  0.000      7      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.26   0.00   0.01      0      7  153.8   0.15   0.25    0.0   0.94     34    1.18    1.02    0.51    0.33    0.21    0.08    0.00    0.00    0.00       50      62
 2014 318    45    36   16.3      5  0.413    268    336      0    344    603    614    110     0.2  0.000     10      1  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.25   2.37   0.02      0     10  154.4   0.15   0.25    0.0   0.96     35    1.20    1.04    0.53    0.34    0.22    0.08    0.00    0.00    0.00       53      66
 2014 319    46    37   16.5      5  0.435    283    350      1    362    633    647    137     0.4  0.001     14      1  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.26   4.02   0.02      0     14  153.7   0.15   0.26    0.0   0.98     37    1.24    1.07    0.55    0.36    0.23    0.09    0.00    0.00    0.00       57      70
 2014 320    47    38   16.8      5  0.456    296    362      1    377    658    677    185     0.6  0.002     19      1  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.25   5.51   0.03      0     19  154.1   0.15   0.26    0.0   1.00     39    1.27    1.10    0.57    0.38    0.25    0.10    0.00    0.00    0.00       61      74
 2014 321    48    39   17.2      5  0.468    300    367      2    381    667    694    237     0.8  0.003     27      1  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.23   6.82   0.04      0     27  156.0   0.15   0.27    0.0   1.03     39    1.27    1.11    0.58    0.38    0.25    0.11    0.01    0.00    0.00       66      79
 2014 322    49    40   17.4      5  0.475    304    370      2    384    674    704    281     0.8  0.003     30      2  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.23   7.47   0.04      0     30  156.3   0.16   0.27    0.0   1.05     39    1.28    1.12    0.59    0.39    0.26    0.11    0.01    0.00    0.00       69      82
 2014 323    50    41   17.5      5  0.492    318    383      3    400    701    734    281     0.9  0.004     33      2  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.25   7.92   0.05      0     33  154.5   0.16   0.27    0.0   1.06     41    1.31    1.15    0.61    0.40    0.27    0.12    0.01    0.00    0.00       71      85
 2014 324    51    42   17.7      5  0.512    334    397      3    418    731    768    322     1.0  0.004     37      2  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.25   8.44   0.05      0     37  153.3   0.16   0.27    0.0   1.07     43    1.35    1.19    0.63    0.42    0.28    0.13    0.01    0.00    0.00       74      88
 2014 325    52    43   18.0      5  0.531    345    408      4    431    754    799    335     1.3  0.005     46      2  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.24   9.25   0.06      0     46  153.7   0.16   0.28    0.0   1.09     44    1.37    1.22    0.65    0.44    0.29    0.13    0.02    0.00    0.00       79      93
 2014 326    53    44   18.4      5  0.545    350    413      6    435    763    819    343     1.6  0.007     56      2  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.22   9.97   0.07      0     56  155.9   0.16   0.28    0.0   1.12     45    1.38    1.22    0.66    0.44    0.30    0.14    0.02    0.00    0.00       85      99
