@YEAR DOY   DAS,DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD,RWAD   VWAD,CWAD,G#AD,GWGD,HIAD,PWAD,P#AD,WSPD,WSGD,NSTD,PST1A,PST2A,KSTD,EWSD,LN%D,SH%D,HIPD,PWDD,PWTD,SLAD,CHTD,CWID,NWAD,RDPD,RLAD,RL1D,RL2D    RL3D,RL4D,RL5D    RL6D,RL7D,RL8D,RL9D,SNW0C,SNW1C
2017 282     9,0    4.6      0  0.065     49     74      0,52    123,123,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.40,0.00,0.00,0,0,132.2,0.01,0.02,0.0,0.13,5,0.52,0.26    0.00,0.00,0.00    0.00,0.00,0.00,0.00,0,1
2017 283    10,1    4.9      0  0.065     49     74      0,52    123,123,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.40,0.00,0.00,0,0,132.3,0.06,0.10,0.0,0.15,5,0.52,0.26    0.00,0.00,0.00    0.00,0.00,0.00,0.00,0,1
2017 284    11,2    5.2      0  0.065     49     78      0,55    127,127,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.39,0.00,0.00,0,0,132.6,0.07,0.10,0.0,0.17,5,0.53,0.28    0.00,0.00,0.00    0.00,0.00,0.00,0.00,1,2
2017 285    12,3    5.6      0  0.065     49     83      0,59    132,132,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.38,0.00,0.00,0,0,133.0,0.07,0.11,0.0,0.20,6,0.55,0.30    0.01,0.00,0.00    0.00,0.00,0.00,0.00,1,3
2017 286    13,4    5.9      0  0.065     49     88      0,63    137,137,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.37,0.00,0.00,0,0,133.3,0.07,0.11,0.0,0.22,6,0.57,0.32    0.01,0.00,0.00    0.00,0.00,0.00,0.00,2,3
2017 287    14,5    6.2      0  0.065     48     93      0,66    141,141,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.37,0.00,0.00,0,0,133.6,0.08,0.12,0.0,0.25,7,0.59,0.34    0.02,0.00,0.00    0.00,0.00,0.00,0.00,2,4
2017 288    15,6    6.6      0  0.064     48     98      0,70    146,146,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.36,0.00,0.00,0,0,134.0,0.08,0.13,0.0,0.27,7,0.60,0.36    0.03,0.00,0.00    0.00,0.00,0.00,0.00,3,5
2017 289    16,7    6.9      0  0.064     48    103      0,75    151,151,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.35,0.00,0.00,0,0,134.2,0.09,0.13,0.0,0.29,8,0.61,0.38    0.05,0.00,0.00    0.00,0.00,0.00,0.00,4,6
2017 290    17,8    7.3      0  0.064     48    106      0,77    154,154,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.34,0.00,0.00,0,0,134.8,0.09,0.14,0.0,0.32,8,0.62,0.38    0.06,0.00,0.00    0.00,0.00,0.00,0.00,4,7
2017 291    18,9    7.6      0  0.065     48    111      0,80    159,159,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.33,0.00,0.00,0,0,135.8,0.09,0.14,0.0,0.34,8,0.63,0.40    0.07,0.00,0.00    0.00,0.00,0.00,0.00,5,8
2017 292    19,10    8.0      0  0.066     48    116      0,85    164,164,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.32,0.00,0.00,0,0,136.8,0.10,0.15,0.0,0.37,9,0.64,0.41    0.08,0.01,0.00    0.00,0.00,0.00,0.00,5,9
2017 293    20,11    8.3      0  0.072     51    120      0,87    171,171,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.32,0.00,0.00,0,0,139.8,0.10,0.16,0.0,0.39,9,0.65,0.42    0.09,0.01,0.00    0.00,0.00,0.00,0.00,6,10
2017 294    21,12    8.7      0  0.078     54    124      0,90    178,178,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.32,0.00,0.00,0,0,142.9,0.10,0.16,0.0,0.42,9,0.65,0.43    0.09,0.02,0.00    0.00,0.00,0.00,0.00,7,11
2017 295    22,13    9.0      0  0.083     57    127      0,93    185,185,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.31,0.00,0.00,0,0,145.2,0.11,0.17,0.0,0.44,9,0.66,0.44    0.10,0.02,0.00    0.00,0.00,0.00,0.00,7,12
