date,tmax,tmin,solar_radiation,rainfall,rh,wind_speed
2092-01-01,4.4,1.1,2.3,0.0,-99.0,-99.0
2092-01-02,11.2,0.2,5.6,0.5,-99.0,-99.0
2092-01-03,5.6,-0.5,2.4,1.5,-99.0,-99.0
2092-01-04,8.9,0.2,3.6,0.5,-99.0,-99.0
2092-01-05,6.0,2.0,0.3,0.3,-99.0,-99.0
2092-01-06,6.3,2.1,2.5,0.3,-99.0,-99.0
2092-01-07,6.0,-3.5,5.5,0.0,-99.0,-99.0
2092-01-08,5.5,-5.7,5.5,0.0,-99.0,-99.0
2092-01-09,4.3,-3.8,5.0,0.0,-99.0,-99.0
2092-01-10,4.0,-3.6,2.1,1.0,-99.0,-99.0
2092-01-11,9.6,-2.8,4.5,0.0,-99.0,-99.0
2092-01-12,5.0,-5.0,4.2,0.0,-99.0,-99.0
2092-01-13,5.5,-1.4,3.3,0.3,-99.0,-99.0
2092-01-14,4.0,0.6,0.6,0.0,-99.0,-99.0
2092-01-15,3.2,1.5,0.8,0.0,-99.0,-99.0
2092-01-16,6.3,-0.3,1.8,7.9,-99.0,-99.0
2092-01-17,3.9,-2.0,1.2,0.0,-99.0,-99.0
2092-01-18,3.7,1.0,0.8,0.0,-99.0,-99.0
2092-01-19,2.6,0.8,1.5,0.0,-99.0,-99.0
2092-01-20,1.4,0.0,1.0,0.0,-99.0,-99.0
2092-01-21,9.8,-1.9,6.3,0.0,-99.0,-99.0
2092-01-22,8.2,0.0,2.0,0.3,-99.0,-99.0
2092-01-23,11.2,4.0,1.8,0.3,-99.0,-99.0
2092-01-24,13.3,2.9,2.6,0.0,-99.0,-99.0
2092-01-25,14.1,0.8,6.3,0.0,-99.0,-99.0
2092-01-26,6.6,-1.7,0.6,0.0,-99.0,-99.0
2092-01-27,8.4,-0.2,1.3,0.0,-99.0,-99.0
2092-01-28,14.9,3.7,6.4,1.3,-99.0,-99.0
2092-01-29,13.5,3.5,2.7,0.0,-99.0,-99.0
2092-01-30,13.3,2.9,3.8,0.0,-99.0,-99.0
2092-01-31,10.3,4.6,3.5,0.0,-99.0,-99.0
2092-02-01,12.6,1.6,3.1,0.3,-99.0,-99.0
2092-02-02,15.3,-0.6,8.1,0.0,-99.0,-99.0
2092-02-03,13.4,-4.1,7.6,0.0,-99.0,-99.0
2092-02-04,6.5,-4.5,4.0,0.0,-99.0,-99.0
2092-02-05,2.9,-4.4,1.7,0.3,-99.0,-99.0
2092-02-06,4.7,1.0,3.0,0.0,-99.0,-99.0
2092-02-07,2.8,0.1,1.9,1.8,-99.0,-99.0
2092-02-08,9.3,0.7,4.3,1.3,-99.0,-99.0
2092-02-09,7.6,2.4,1.5,1.3,-99.0,-99.0
2092-02-10,9.8,0.3,2.9,0.0,-99.0,-99.0
2092-02-11,10.2,-0.8,3.4,0.5,-99.0,-99.0
2092-02-12,12.5,0.7,2.4,0.0,-99.0,-99.0
2092-02-13,11.5,-0.6,4.1,1.5,-99.0,-99.0
2092-02-14,15.7,1.9,6.3,0.0,-99.0,-99.0
2092-02-15,11.2,0.2,7.1,0.0,-99.0,-99.0
2092-02-16,12.2,-3.1,8.1,0.3,-99.0,-99.0
2092-02-17,13.4,-1.0,8.3,0.0,-99.0,-99.0
2092-02-18,13.2,0.4,3.6,0.0,-99.0,-99.0
2092-02-19,10.6,2.3,5.0,8.9,-99.0,-99.0
2092-02-20,10.8,3.4,4.0,4.1,-99.0,-99.0
2092-02-21,14.4,3.4,4.8,2.8,-99.0,-99.0
2092-02-22,16.5,1.4,10.5,0.0,-99.0,-99.0
2092-02-23,13.6,0.4,7.4,1.5,-99.0,-99.0
2092-02-24,12.3,6.3,6.1,4.3,-99.0,-99.0
2092-02-25,12.2,7.3,4.2,0.0,-99.0,-99.0
2092-02-26,11.1,8.1,2.7,0.0,-99.0,-99.0
2092-02-27,10.6,7.7,3.0,0.0,-99.0,-99.0
2092-02-28,9.7,7.2,3.1,0.0,-99.0,-99.0
2092-02-29,8.6,6.4,2.4,0.0,-99.0,-99.0
2092-03-01,10.1,3.8,1.7,0.0,-99.0,-99.0
2092-03-02,8.6,4.4,2.3,0.0,-99.0,-99.0
2092-03-03,13.2,4.1,7.2,1.0,-99.0,-99.0
2092-03-04,17.1,0.9,9.1,0.3,-99.0,-99.0
2092-03-05,14.9,2.5,8.0,1.0,-99.0,-99.0
2092-03-06,14.1,3.7,9.2,0.0,-99.0,-99.0
2092-03-07,17.7,5.2,9.8,0.0,-99.0,-99.0
